real,start_timestamp,euclidian,start_lon,dest_timestamp,dest_lon,start_lat,dest_lat
4259,2013-01-07 00:36:00,3177.366621859843,-74.00692,2013-01-07 00:45:00,-73.979332,40.741638,40.761093
2407,2013-01-07 00:36:01,1917.9470713540038,-73.974434,2013-01-07 00:39:36,-73.991035,40.762302,40.750515
6410,2013-01-07 00:36:02,3120.217565464311,-73.946037,2013-01-07 00:46:28,-73.982964,40.727367,40.726826
2786,2013-01-07 00:36:03,1755.8844697157099,-73.787804,2013-01-07 00:40:15,-73.804932,40.641495,40.650429
30298,2013-01-07 00:36:04,21740.82878475935,-73.776794,2013-01-07 01:04:13,-74.001015,40.645679,40.741611
13355,2013-01-07 00:36:05,9825.055621308335,-73.985611,2013-01-07 01:02:08,-73.904083,40.759583,40.696487
30682,2013-01-07 00:36:07,21426.911425474937,-73.787445,2013-01-07 01:08:36,-74.003563,40.641396,40.742241
4375,2013-01-07 00:36:11,3466.8660908317133,-73.985077,2013-01-07 00:47:12,-73.975433,40.758408,40.788754
8313,2013-01-07 00:36:12,6221.092296251351,-73.982162,2013-01-07 00:53:37,-73.911827,40.776375,40.759678
1881,2013-01-07 00:36:13,1346.2870520383651,-73.968178,2013-01-07 00:42:03,-73.984032,40.76078,40.759495
29709,2013-01-07 00:36:16,19649.14048161624,-73.786621,2013-01-07 01:01:03,-73.948677,40.646965,40.773857
3604,2013-01-07 00:36:17,2786.029872375133,-73.957169,2013-01-07 00:44:41,-73.971581,40.714443,40.691879
3092,2013-01-07 00:36:18,2653.1850400851004,-73.967628,2013-01-07 00:41:40,-73.982994,40.758701,40.737862
3388,2013-01-07 00:36:18,2787.052821155518,-73.989899,2013-01-07 00:42:39,-73.998177,40.757011,40.732716
4106,2013-01-07 00:36:21,3203.4602664136746,-73.956474,2013-01-07 00:47:08,-73.994263,40.71706,40.719402
18332,2013-01-07 00:36:22,14811.817844573332,-74.000488,2013-01-07 00:55:44,-73.904114,40.747768,40.859245
29262,2013-01-07 00:36:23,19763.43022947329,-73.78231,2013-01-07 01:03:17,-73.962334,40.644531,40.758121
13951,2013-01-07 00:36:24,12352.485296817254,-73.994293,2013-01-07 00:55:05,-73.936951,40.752636,40.85498
1076,2013-01-07 00:36:25,756.2461919603028,-73.998238,2013-01-07 00:40:36,-74.005608,40.722656,40.726521
2385,2013-01-07 00:36:26,2174.1400506627037,-74.004021,2013-01-07 00:45:14,-73.982185,40.742123,40.731758
2384,2013-01-07 00:36:27,1762.6242064208595,-73.973175,2013-01-07 00:40:45,-73.990623,40.763935,40.755222
5888,2013-01-07 00:36:29,4240.6609049474055,-73.986031,2013-01-07 00:47:32,-73.946213,40.757202,40.780479
1905,2013-01-07 00:36:30,1709.8062476106543,-73.98333,2013-01-07 00:39:26,-73.965546,40.7659,40.758537
1563,2013-01-07 00:36:30,1319.6457236332499,-73.987511,2013-01-07 00:38:44,-73.98291,40.770496,40.781853
3182,2013-01-07 00:36:31,2787.901781760267,-74.001228,2013-01-07 00:43:24,-73.988014,40.736542,40.759548
3834,2013-01-07 00:36:31,3732.2394559769864,-73.970802,2013-01-07 00:42:37,-73.993225,40.788509,40.759544
27827,2013-01-07 00:36:32,19967.349801800683,-73.781075,2013-01-07 00:57:42,-73.979774,40.645042,40.742294
5726,2013-01-07 00:36:33,3100.100782333011,-73.982216,2013-01-07 00:48:39,-73.95649,40.767551,40.747635
18612,2013-01-07 00:36:33,11765.040471189855,-73.989433,2013-01-07 00:58:52,-73.95771,40.73978,40.636623
1319,2013-01-07 00:36:34,745.8239962588976,-74.002228,2013-01-07 00:41:01,-74.005295,40.734745,40.741043
29641,2013-01-07 00:36:34,18954.914254036285,-73.780754,2013-01-07 00:58:21,-73.985107,40.645195,40.715427
9069,2013-01-07 00:36:35,5667.391467637239,-73.977058,2013-01-07 00:51:47,-73.919128,40.729,40.754753
2619,2013-01-07 00:36:35,1944.7229023748425,-73.937485,2013-01-07 00:43:52,-73.942474,40.810055,40.827152
3549,2013-01-07 00:36:35,2658.4918976718227,-73.990158,2013-01-07 00:47:37,-73.99575,40.756557,40.732998
3437,2013-01-07 00:36:40,2303.1501416279652,-73.971535,2013-01-07 00:59:39,-73.994659,40.762844,40.751846
8940,2013-01-07 00:36:40,5812.084201879552,-74.006584,2013-01-07 00:49:47,-73.982193,40.708214,40.757153
5490,2013-01-07 00:36:43,4141.8511266517535,-73.976677,2013-01-07 00:46:16,-73.927696,40.739243,40.741016
28751,2013-01-07 00:36:44,20050.838543289003,-73.776794,2013-01-07 00:59:26,-73.966934,40.645069,40.753052
2083,2013-01-07 00:36:45,1406.2885195067327,-73.982735,2013-01-07 00:41:49,-73.999268,40.731514,40.730034
4555,2013-01-07 00:36:48,3247.5121665324577,-74.004456,2013-01-07 00:45:34,-73.966751,40.751766,40.757519
15683,2013-01-07 00:36:51,9982.698300416852,-73.993507,2013-01-07 00:56:57,-73.947945,40.741737,40.824692
3883,2013-01-07 00:36:51,3585.1917851263406,-73.975105,2013-01-07 00:42:43,-73.952919,40.749134,40.776661
12428,2013-01-07 00:36:51,8979.640495507212,-74.015152,2013-01-07 00:54:30,-73.946747,40.710754,40.772655
8753,2013-01-07 00:36:52,4997.056184028887,-73.995842,2013-01-07 00:47:00,-73.969864,40.716461,40.756889
2590,2013-01-07 00:36:53,2182.3212545691144,-73.966965,2013-01-07 00:42:02,-73.950325,40.76062,40.775658
777,2013-01-07 00:36:54,663.1104330339817,-73.981071,2013-01-07 00:39:54,-73.988556,40.764004,40.765812
6140,2013-01-07 00:36:55,4398.359631803455,-74.002937,2013-01-07 00:48:10,-73.992043,40.721981,40.760712
29177,2013-01-07 00:36:55,21450.8207688972,-73.787003,2013-01-07 01:05:54,-73.989143,40.641109,40.757923
1875,2013-01-07 00:36:55,1786.412299402471,-74.004211,2013-01-07 00:40:59,-74.0056,40.742344,40.726292
12113,2013-01-07 00:36:55,9402.885134357839,-73.967659,2013-01-07 00:53:45,-73.912949,40.802265,40.876041
