real,start_timestamp,euclidian,start_lon,dest_timestamp,dest_lon,start_lat,dest_lat
6231,2013-01-07 01:05:40,2187.6980735292836,-73.954674,2013-01-07 01:16:13,-73.931473,40.774158,40.765385
3314,2013-01-07 01:05:40,2344.2418270852922,-73.967064,2013-01-07 01:12:35,-73.993813,40.757034,40.751389
3069,2013-01-07 01:05:42,2327.968401978098,-74.004807,2013-01-07 01:11:33,-74.005135,40.721519,40.742481
3201,2013-01-07 01:05:43,2226.02719333438,-73.953781,2013-01-07 01:11:28,-73.978958,40.787678,40.781712
944,2013-01-07 01:05:46,682.2276007364486,-73.98333,2013-01-07 01:09:42,-73.991325,40.758774,40.757889
11399,2013-01-07 01:05:47,7930.357979576888,-73.776741,2013-01-07 01:19:59,-73.857346,40.645153,40.681656
38,2013-01-07 01:05:48,38.30893074008639,-73.955826,2013-01-07 01:08:28,-73.955376,40.714088,40.71413
13843,2013-01-07 01:05:49,6030.831797183447,-73.986618,2013-01-07 01:21:22,-73.917076,40.75742,40.76981
9599,2013-01-07 01:05:50,7187.453163881702,-73.996986,2013-01-07 01:16:43,-73.917229,40.722263,40.744808
14,2013-01-07 01:05:52,14.128487386583531,-74.006256,2013-01-07 01:26:23,-74.006393,40.741329,40.741402
2113,2013-01-07 01:05:56,2111.867788963038,-74.007301,2013-01-07 01:09:10,-73.99498,40.743652,40.760201
3505,2013-01-07 01:05:56,2402.384359159091,-74.004143,2013-01-07 01:12:56,-73.975754,40.747822,40.74646
1804,2013-01-07 01:05:57,1293.4525770174519,-73.98217,2013-01-07 01:10:35,-73.9869,40.731384,40.742462
25784,2013-01-07 01:05:58,15727.029735302727,-73.781967,2013-01-07 01:31:40,-73.967712,40.644699,40.638515
6717,2013-01-07 01:05:58,3665.7610045108,-73.987144,2013-01-07 01:17:47,-73.983696,40.720516,40.753422
1606,2013-01-07 01:05:58,713.617445246388,-73.869598,2013-01-07 01:09:22,-73.876076,40.773312,40.769184
3676,2013-01-07 01:05:59,2272.2986984408512,-73.997772,2013-01-07 01:13:33,-74.005585,40.721539,40.741119
978,2013-01-07 01:06:00,884.6901011167118,-73.987152,2013-01-07 01:09:00,-73.99234,40.720806,40.713886
2122,2013-01-07 01:06:00,1766.3428577673155,-74.004044,2013-01-07 01:12:00,-73.98864,40.74229,40.731533
