real,start_timestamp,euclidian,start_lon,dest_timestamp,dest_lon,start_lat,dest_lat
2014,2013-01-07 00:12:41,1686.2552774157534,-73.984337,2013-01-07 00:17:58,-73.989883,40.740341,40.725754
473,2013-01-07 00:12:43,399.05491272883927,-74.00032,2013-01-07 00:15:53,-74.003563,40.735119,40.732506
354,2013-01-07 00:12:43,242.46371123127116,-73.956284,2013-01-07 00:15:29,-73.953438,40.776413,40.776707
9478,2013-01-07 00:12:43,6665.744362571787,-74.005241,2013-01-07 00:24:47,-73.954445,40.72118,40.76712
4284,2013-01-07 00:12:43,2282.0527061133557,-73.986809,2013-01-07 00:23:21,-73.98455,40.747875,40.768353
33731,2013-01-07 00:12:43,22496.075494777728,-73.789955,2013-01-07 00:48:20,-73.976662,40.643547,40.787964
4263,2013-01-07 00:12:43,3771.7315118903753,-73.977165,2013-01-07 00:19:33,-73.936592,40.683479,40.669357
2784,2013-01-07 00:12:44,2047.9819681893491,-73.971169,2013-01-07 00:20:46,-73.947578,40.788071,40.78376
4512,2013-01-07 00:12:44,2960.12916881829,-73.977951,2013-01-07 00:19:20,-73.979584,40.763073,40.7897
8344,2013-01-07 00:12:45,6732.850623213325,-73.988991,2013-01-07 00:24:17,-73.949188,40.721699,40.774231
2791,2013-01-07 00:12:46,1715.796389651428,-74.007797,2013-01-07 00:20:21,-73.990143,40.740711,40.748356
3359,2013-01-07 00:12:46,2995.2107147474453,-73.990227,2013-01-07 00:20:47,-73.971825,40.760807,40.783867
3254,2013-01-07 00:12:47,2552.5185739778794,-74.006111,2013-01-07 00:21:48,-73.994858,40.73996,40.718628
42210,2013-01-07 00:12:47,18695.946917941623,-73.781143,2013-01-07 00:39:50,-73.997543,40.64505,40.679539
6316,2013-01-07 00:12:47,4697.256956135582,-74.002304,2013-01-07 00:25:45,-73.967865,40.726543,40.69334
4781,2013-01-07 00:12:48,4598.169375854961,-73.982216,2013-01-07 00:23:13,-73.957237,40.767639,40.804436
1132,2013-01-07 00:12:49,894.2970448767281,-73.992523,2013-01-07 00:15:06,-73.99057,40.738049,40.745964
4207,2013-01-07 00:12:49,2975.243188681852,-73.972099,2013-01-07 00:21:49,-73.940361,40.786385,40.798046
1617,2013-01-07 00:12:49,1184.0249786163388,-73.994728,2013-01-07 00:15:57,-73.995476,40.738869,40.749516
8202,2013-01-07 00:12:52,5975.892877319238,-74.002983,2013-01-07 00:24:58,-73.952705,40.73436,40.772228
1776,2013-01-07 00:12:53,1453.5606160616844,-73.972305,2013-01-07 00:16:50,-73.97644,40.756664,40.743958
5643,2013-01-07 00:12:54,3647.1222757824935,-73.96492,2013-01-07 00:21:59,-73.924301,40.759701,40.770874
12547,2013-01-07 00:12:54,11011.844951774194,-74.004074,2013-01-07 00:29:52,-73.960541,40.720997,40.814472
3555,2013-01-07 00:12:55,2767.3758618659995,-73.977791,2013-01-07 00:21:29,-73.999107,40.725552,40.744476
3813,2013-01-07 00:12:56,2685.4508284513604,-73.987755,2013-01-07 00:21:02,-73.987526,40.721485,40.745667
1095,2013-01-07 00:12:56,775.9864704129599,-73.98954,2013-01-07 00:17:04,-73.993202,40.756294,40.762703
1674,2013-01-07 00:12:57,1241.9752332612736,-74.008797,2013-01-07 00:18:05,-73.996857,40.713856,40.720379
13986,2013-01-07 00:12:58,6159.90371381322,-73.990669,2013-01-07 00:30:19,-73.919884,40.756168,40.769592
14208,2013-01-07 00:12:58,7403.1735205450905,-73.864021,2013-01-07 00:31:27,-73.951706,40.77002,40.769566
17263,2013-01-07 00:12:58,14490.11659940493,-73.872787,2013-01-07 00:42:09,-73.960915,40.774223,40.662285
3899,2013-01-07 00:12:58,2053.3558744746983,-73.976494,2013-01-07 00:22:20,-73.95433,40.782341,40.789963
27350,2013-01-07 00:12:59,20277.15301227674,-73.804329,2013-01-07 00:40:01,-73.98539,40.649689,40.769516
8519,2013-01-07 00:13:00,7109.664517261802,-73.95108,2013-01-07 00:26:00,-73.987862,40.786026,40.728436
2948,2013-01-07 00:13:00,2221.2761954111616,-73.989861,2013-01-07 00:20:00,-73.9879,40.729607,40.749554
140,2013-01-07 00:13:00,99.28515198966973,-73.987984,2013-01-07 00:15:00,-73.988579,40.722488,40.723259
5095,2013-01-07 00:13:00,3872.339951490955,-73.986359,2013-01-07 00:21:00,-73.950645,40.762196,40.784077
6796,2013-01-07 00:13:00,5400.221901951503,-74.005508,2013-01-07 00:27:00,-73.979454,40.739998,40.784409
1892,2013-01-07 00:13:00,1187.503271961713,-74.00647,2013-01-07 00:17:00,-74.005325,40.739433,40.728775
3549,2013-01-07 00:13:00,2744.0137507392706,-73.98127,2013-01-07 00:24:00,-73.950096,40.77916,40.772163
5145,2013-01-07 00:13:00,2131.8689869366726,-73.972839,2013-01-07 00:21:00,-73.954826,40.759258,40.745808
28080,2013-01-07 00:13:00,20485.62974332484,-73.78257,2013-01-07 00:37:00,-73.978317,40.644783,40.753578
2266,2013-01-07 00:13:00,1908.2524372424537,-73.952744,2013-01-07 00:20:00,-73.950989,40.727123,40.709991
1810,2013-01-07 00:13:00,1477.765536334572,-73.978592,2013-01-07 00:19:00,-73.989532,40.72636,40.715977
